Weight,Calories,Protein,Fats,Carbohydrates
400,6800,560,149.6,803.4
401,6817,561.4,149.974,805.4085
402,6834,562.8,150.348,807.417
403,6851,564.2,150.722,809.4255
404,6868,565.6,151.096,811.434
405,6885,567,151.47,813.4425
406,6902,568.4,151.844,815.451
407,6919,569.8,152.218,817.4595
408,6936,571.2,152.592,819.468
409,6953,572.6,152.966,821.4765
410,6970,574,153.34,823.485
411,6987,575.4,153.714,825.4935
412,7004,576.8,154.088,827.502
413,7021,578.2,154.462,829.5105
414,7038,579.6,154.836,831.519
415,7055,581,155.21,833.5275
416,7072,582.4,155.584,835.536
417,7089,583.8,155.958,837.5445
418,7106,585.2,156.332,839.553
419,7123,586.6,156.706,841.5615
420,7140,588,157.08,843.57
421,7157,589.4,157.454,845.5785
422,7174,590.8,157.828,847.587
423,7191,592.2,158.202,849.5955
424,7208,593.6,158.576,851.604
425,7225,595,158.95,853.6125
426,7242,596.4,159.324,855.621
427,7259,597.8,159.698,857.6295
428,7276,599.2,160.072,859.638
429,7293,600.6,160.446,861.6465
430,7310,602,160.82,863.655
431,7327,603.4,161.194,865.6635
432,7344,604.8,161.568,867.672
433,7361,606.2,161.942,869.6805
434,7378,607.6,162.316,871.689
435,7395,609,162.69,873.6975
436,7412,610.4,163.064,875.706
437,7429,611.8,163.438,877.7145
438,7446,613.2,163.812,879.723
439,7463,614.6,164.186,881.7315
440,7480,616,164.56,883.74
441,7497,617.4,164.934,885.7485
442,7514,618.8,165.308,887.757
443,7531,620.2,165.682,889.7655
444,7548,621.6,166.056,891.774
445,7565,623,166.43,893.7825
446,7582,624.4,166.804,895.791
447,7599,625.8,167.178,897.7995
448,7616,627.2,167.552,899.808
449,7633,628.6,167.926,901.8165
450,7650,630,168.3,903.825
451,7667,631.4,168.674,905.8335
452,7684,632.8,169.048,907.842
453,7701,634.2,169.422,909.8505
454,7718,635.6,169.796,911.859
455,7735,637,170.17,913.8675
456,7752,638.4,170.544,915.876
457,7769,639.8,170.918,917.8845
